Y,COLOR,SPINE,WIDTH,SATELLTS,WEIGHT,CATWIDTH
1,3,3,29.0,1,3.10,28.75
1,3,3,25.3,2,1.90,25.75
1,3,3,26.5,4,2.30,26.75
1,3,3,27.8,3,3.25,27.75
1,3,3,27.0,6,2.50,26.75
0,4,3,25.7,0,2.10,25.75
1,3,3,25.0,2,2.10,24.75
1,3,3,31.9,2,3.33,29.75
0,5,3,23.7,0,1.80,23.75
1,5,3,29.3,12,3.23,29.75
0,4,3,22.0,0,1.40,22.75
1,3,3,25.0,5,2.40,24.75
1,4,3,27.0,6,2.50,26.75
1,4,3,23.8,6,1.80,23.75
1,2,1,30.2,2,3.28,29.75
0,4,3,26.2,0,2.23,25.75
1,3,3,24.2,2,1.65,23.75
1,3,3,27.4,3,2.90,27.75
0,3,2,25.4,0,2.30,25.75
1,4,3,28.4,3,3.20,28.75
1,5,3,22.5,4,1.48,22.75
1,3,3,26.2,2,2.03,25.75
1,3,1,24.9,6,2.30,24.75
1,2,2,24.5,6,1.95,24.75
0,3,3,25.1,0,1.80,24.75
1,3,1,28.0,4,2.90,27.75
1,5,3,25.8,10,2.25,25.75
1,3,3,27.9,7,3.05,27.75
0,3,3,24.9,0,2.20,24.75
1,3,1,28.4,5,3.10,28.75
1,4,3,27.2,5,2.40,26.75
1,3,2,25.0,6,2.25,24.75
1,3,3,27.5,6,2.63,27.75
1,3,1,33.5,7,5.20,29.75
1,3,3,30.5,3,3.33,29.75
1,4,3,29.0,3,2.93,28.75
0,3,1,24.3,0,2.00,24.75
0,3,3,25.8,0,2.40,25.75
1,5,3,25.0,8,2.10,24.75
1,3,1,31.7,4,3.73,29.75
1,3,3,29.5,4,3.03,29.75
1,4,3,24.0,10,1.90,23.75
1,3,3,30.0,9,3.00,29.75
1,3,3,27.6,4,2.85,27.75
0,3,3,26.2,0,2.30,25.75
0,3,1,23.1,0,2.00,22.75
0,3,1,22.9,0,1.60,22.75
0,5,3,24.5,0,1.90,24.75
1,3,3,24.7,4,1.95,24.75
0,3,3,28.3,0,3.20,28.75
1,3,3,23.9,2,1.85,23.75
0,4,3,23.8,0,1.80,23.75
1,4,2,29.8,4,3.50,29.75
1,3,3,26.5,4,2.35,26.75
1,3,3,26.0,3,2.28,25.75
1,3,3,28.2,8,3.05,27.75
0,5,3,25.7,0,2.15,25.75
1,3,3,26.5,7,2.75,26.75
0,3,3,25.8,0,2.20,25.75
0,4,3,24.1,0,1.80,23.75
1,4,3,26.2,2,2.18,25.75
1,4,3,26.1,3,2.75,25.75
1,4,3,29.0,4,3.28,28.75
0,2,1,28.0,0,2.63,27.75
0,5,3,27.0,0,2.63,26.75
0,3,2,24.5,0,2.00,24.75
